ID	Cancer	PAX5	ZCCHC7	Type	Label
SJALL015275_D1	TALL	0.3187	11.3372	WT	TALL-WT
SJALL015276_D1	TALL	0.54	6.0759	WT	TALL-WT
SJALL015277_D1	TALL	0.059	6.4991	WT	TALL-WT
SJALL015278_D1	TALL	0.0965	12.9076	WT	TALL-WT
SJALL015279_D1	TALL	0.0931	7.0957	WT	TALL-WT
SJALL015280_D1	TALL	0.4646	13.0786	WT	TALL-WT
SJALL015281_D1	TALL	0.1194	10.7824	WT	TALL-WT
SJALL015282_D1	TALL	0.1624	15.0707	WT	TALL-WT
SJALL015283_D1	TALL	0.0824	6.5922	WT	TALL-WT
SJALL015284_D1	TALL	0.8046	8.6247	WT	TALL-WT
SJALL015285_D1	TALL	0.2665	11.911	WT	TALL-WT
SJALL015582_D1	TALL	0.6786	13.8591	WT	TALL-WT
SJALL015586_D1	TALL	0.0211	7.3412	WT	TALL-WT
SJALL015621_D1	TALL	0.27	8.7819	WT	TALL-WT
SJALL015622_D1	TALL	0.3143	9.1333	WT	TALL-WT
SJALL015623_D1	TALL	0.3753	13.0821	WT	TALL-WT
SJALL015624_D1	TALL	0.183	14.15	WT	TALL-WT
SJALL015625_D1	TALL	0.1914	4.5857	WT	TALL-WT
SJALL015626_D1	TALL	0.0895	9.5611	WT	TALL-WT
SJALL015627_D1	TALL	0.9111	5.6906	WT	TALL-WT
SJALL015628_D1	TALL	0.1065	10.8001	WT	TALL-WT
SJALL015629_D1	TALL	0.3637	9.2634	WT	TALL-WT
SJALL015630_D1	TALL	0.0684	3.9861	WT	TALL-WT
SJALL015631_D1	TALL	0.0818	7.3039	WT	TALL-WT
SJALL015632_D1	TALL	1.2274	10.3317	WT	TALL-WT
SJALL015633_D1	TALL	0.3738	9.4401	WT	TALL-WT
SJALL015634_D1	TALL	0.1584	8.1918	WT	TALL-WT
SJALL015635_D1	TALL	0.4488	8.8036	WT	TALL-WT
SJALL015636_D1	TALL	0.0188	7.4224	WT	TALL-WT
SJALL015637_D1	TALL	0.1951	11.1751	WT	TALL-WT
SJALL015638_D1	TALL	0.3436	7.8436	WT	TALL-WT
SJALL015639_D1	TALL	0.459	10.5593	WT	TALL-WT
SJALL015640_D1	TALL	0.4328	6.2246	WT	TALL-WT
SJALL015641_D1	TALL	2.0579	9.9087	WT	TALL-WT
SJALL015642_D1	TALL	0.4049	15.3236	WT	TALL-WT
SJALL015643_D1	TALL	0.4197	7.9261	WT	TALL-WT
SJALL015644_D1	TALL	0.2648	8.3085	WT	TALL-WT
SJALL015645_D1	TALL	0.2916	13.4428	WT	TALL-WT
SJALL015646_D1	TALL	0.063	13.7968	WT	TALL-WT
SJALL015647_D1	TALL	1.7575	10.1767	WT	TALL-WT
SJALL015648_D1	TALL	0.124	12.8907	WT	TALL-WT
SJALL015649_D1	TALL	1.2803	10.9212	WT	TALL-WT
SJALL015650_D1	TALL	2.0402	7.5611	WT	TALL-WT
SJALL015651_D1	TALL	1.2018	11.6541	WT	TALL-WT
SJALL015652_D1	TALL	0.1462	9.9059	WT	TALL-WT
SJALL015653_D1	TALL	0.8139	10.6471	WT	TALL-WT
SJALL015654_D1	TALL	0.6771	12.2383	WT	TALL-WT
SJALL015655_D1	TALL	0.9703	12.0487	WT	TALL-WT
SJALL015656_D1	TALL	0.5484	10.838	WT	TALL-WT
SJALL015657_D1	TALL	0.7582	9.6993	WT	TALL-WT
SJALL015658_D1	TALL	0.2746	10.3316	WT	TALL-WT
SJALL015659_D1	TALL	0.4311	9.9252	WT	TALL-WT
SJALL015660_D1	TALL	0.3421	10.6964	WT	TALL-WT
SJALL015661_D1	TALL	0.3127	12.4647	WT	TALL-WT
SJALL015662_D1	TALL	0.159	11.3831	WT	TALL-WT
SJALL015663_D1	TALL	0.0695	13.7749	WT	TALL-WT
SJALL015664_D1	TALL	1.4472	8.0391	WT	TALL-WT
SJALL015665_D1	TALL	0.804	18.6238	WT	TALL-WT
SJALL015667_D1	TALL	0.1526	14.9935	WT	TALL-WT
SJALL015668_D1	TALL	0.1192	14.5828	WT	TALL-WT
SJALL015669_D1	TALL	1.7683	9.0157	WT	TALL-WT
SJALL015670_D1	TALL	0.7668	9.4798	WT	TALL-WT
SJALL015671_D1	TALL	0.0794	13.7233	WT	TALL-WT
SJALL015672_D1	TALL	1.1396	11.2653	WT	TALL-WT
SJALL015673_D1	TALL	0.4678	13.3103	WT	TALL-WT
SJALL015674_D1	TALL	0.3063	5.4444	WT	TALL-WT
SJALL015675_D1	TALL	0.7156	10.142	WT	TALL-WT
SJALL015678_D1	TALL	0.4027	13.2843	WT	TALL-WT
SJALL015679_D1	TALL	0.892	12.8008	WT	TALL-WT
SJALL015680_D1	TALL	0.0887	20.5187	WT	TALL-WT
SJALL015681_D1	TALL	0.6235	12.277	WT	TALL-WT
SJALL015682_D1	TALL	0.5632	8.9434	WT	TALL-WT
SJALL015683_D1	TALL	0.5043	11.3075	WT	TALL-WT
SJALL015684_D1	TALL	0.1123	8.3821	WT	TALL-WT
SJALL015685_D1	TALL	0.1807	11.836	WT	TALL-WT
SJALL015686_D1	TALL	0.7676	9.3659	WT	TALL-WT
SJALL015687_D1	TALL	0.3399	8.036	WT	TALL-WT
SJALL015688_D1	TALL	0.22	7.5234	WT	TALL-WT
SJALL015689_D1	TALL	0.6131	11.4191	WT	TALL-WT
SJALL015690_D1	TALL	0.2027	6.6662	WT	TALL-WT
SJALL015691_D1	TALL	0.3928	20.9095	WT	TALL-WT
SJALL015693_D1	TALL	0.0577	14.3461	WT	TALL-WT
SJALL015694_D1	TALL	0.2799	11.3307	WT	TALL-WT
SJALL015695_D1	TALL	0.2412	5.4406	WT	TALL-WT
SJALL015696_D1	TALL	0.0716	10.9786	WT	TALL-WT
SJALL015697_D1	TALL	0.156	12.3921	WT	TALL-WT
SJALL015698_D1	TALL	0.0849	17.3661	WT	TALL-WT
SJALL015699_D1	TALL	0.0489	11.2733	WT	TALL-WT
SJALL015700_D1	TALL	0.0855	14.4764	WT	TALL-WT
SJALL015701_D1	TALL	0.3404	16.921	WT	TALL-WT
SJALL015702_D1	TALL	0.0223	8.4481	WT	TALL-WT
SJALL015703_D1	TALL	2.5697	16.4585	WT	TALL-WT
SJALL015704_D1	TALL	0.5569	6.3033	WT	TALL-WT
SJALL015705_D1	TALL	0.1803	7.9148	WT	TALL-WT
SJALL015706_D1	TALL	0.1294	11.6275	WT	TALL-WT
SJALL015707_D1	TALL	0.491	13.8706	WT	TALL-WT
SJALL015708_D1	TALL	1.0541	12.3203	WT	TALL-WT
SJALL015709_D1	TALL	0.0139	6.9867	WT	TALL-WT
SJALL015710_D1	TALL	1.6519	17.9513	WT	TALL-WT
SJALL015711_D1	TALL	1.7112	17.2446	WT	TALL-WT
SJALL015712_D1	TALL	1.7707	12.8631	WT	TALL-WT
SJALL015713_D1	TALL	0.1201	6.4499	WT	TALL-WT
SJALL015714_D1	TALL	0.07	11.0361	WT	TALL-WT
SJALL015989_D1	TALL	0.3931	8.6939	WT	TALL-WT
SJALL015990_D1	TALL	0.7356	11.7465	WT	TALL-WT
SJALL015991_D1	TALL	0.4661	7.4077	WT	TALL-WT
SJALL015992_D1	TALL	0.0712	11.0006	WT	TALL-WT
SJALL015993_D1	TALL	0.1266	9.8273	WT	TALL-WT
SJALL015994_D1	TALL	1.6961	10.6096	WT	TALL-WT
SJALL015995_D1	TALL	2.3424	16.0402	WT	TALL-WT
SJALL015996_D1	TALL	1.9831	15.2801	WT	TALL-WT
SJALL015997_D1	TALL	1.0342	10.6444	WT	TALL-WT
SJALL015998_D1	TALL	0.266	13.112	WT	TALL-WT
SJALL015999_D1	TALL	0.4671	16.2728	WT	TALL-WT
SJALL016000_D1	TALL	1.6274	13.1061	WT	TALL-WT
SJALL016001_D1	TALL	0.0518	10.4086	WT	TALL-WT
SJALL016002_D1	TALL	0.1852	10.6784	WT	TALL-WT
SJALL016003_D1	TALL	0.0445	8.4595	WT	TALL-WT
SJALL016429_D1	TALL	1.5421	17.8031	WT	TALL-WT
SJALL016430_D1	TALL	1.2285	21.5061	WT	TALL-WT
SJALL016431_D1	TALL	0.377	14.9096	WT	TALL-WT
SJALL016433_D1	TALL	0.3293	14.9678	WT	TALL-WT
SJALL016434_D1	TALL	0.1368	8.6991	WT	TALL-WT
SJALL016435_D1	TALL	0.1192	4.4055	WT	TALL-WT
SJALL016436_D1	TALL	0.131	6.6032	WT	TALL-WT
SJALL016437_D1	TALL	0.3895	11.2877	WT	TALL-WT
