Sample	Cancer	PAX5	ZCCHC7	Type
SJBALL020916_D2	BALL	31.1746	47.9138	WT
SJBALL020931_D2	BALL	49.9191	107.5997	WT
SJBALL020936_D1	BALL	30.3403	39.7328	WT
SJBALL020939_D1	BALL	41.1795	33.6693	WT
SJBALL020941_D1	BALL	42.2269	49.4859	WT
SJBALL020946_D2	BALL	23.0107	32.2337	WT
SJBALL020953_D1	BALL	26.2074	59.0392	WT
SJBALL020958_D1	BALL	22.1864	58.7735	WT
SJBALL020963_D1	BALL	38.9414	52.0539	WT
SJBALL020964_D1	BALL	117.566	110.367	WT
SJBALL020966_D1	BALL	59.2138	54.3126	WT
SJBALL020967_D1	BALL	96.7719	32.4004	WT
SJBALL020971_D1	BALL	6.89648	20.3754	WT
SJBALL020977_D1	BALL	29.7495	24.4944	WT
SJBALL020980_D1	BALL	45.5099	50.4339	WT
SJBALL020984_D1	BALL	29.8798	54.0156	WT
SJBALL020987_D1	BALL	59.85	72.9829	WT
SJBALL020993_D1	BALL	41.024	73.1258	WT
SJBALL020994_D1	BALL	46.7722	35.266	WT
SJBALL020995_D1	BALL	60.4957	81.8013	WT
SJBALL020998_D1	BALL	17.3779	26.6405	WT
SJBALL021005_D1	BALL	119.039	77.8475	WT
SJBALL021012_D1	BALL	47.2994	43.5159	WT
SJBALL021018_D1	BALL	31.0736	37.0434	WT
SJBALL021021_D1	BALL	21.8394	25.0987	WT
SJBALL021023_D1	BALL	10.2005	5.91857	WT
SJBALL021031_D1	BALL	24.0288	33.0939	WT
SJBALL021043_D1	BALL	30.9317	16.4915	WT
SJBALL021047_D1	BALL	45.2683	19.9131	WT
SJBALL021053_D1	BALL	28.3606	100.854	WT
SJBALL021058_D1	BALL	17.7187	78.5647	WT
SJBALL021059_D1	BALL	42.0167	48.7263	WT
SJBALL021061_D1	BALL	28.2944	17.7053	WT
SJBALL021076_D1	BALL	22.0268	66.0884	WT
SJBALL021080_D1	BALL	83.0061	91.762	WT
SJBALL021083_D1	BALL	29.3886	72.0948	WT
SJBALL021087_D1	BALL	11.0519	37.6296	WT
SJBALL021100_D1	BALL	27.6615	92.3172	WT
SJBALL021102_D1	BALL	104.989	54.0906	WT
SJBALL021104_D1	BALL	93.6616	90.9946	WT
SJBALL021108_D1	BALL	43.0753	19.1431	WT
SJBALL021109_D1	BALL	21.8587	32.1312	WT
SJBALL021113_D1	BALL	56.8814	52.2608	WT
SJBALL021118_D1	BALL	31.4257	92.837	WT
SJBALL021120_D1	BALL	17.1182	51.9866	WT
SJBALL021124_D1	BALL	55.4456	53.8681	WT
SJBALL021128_D1	BALL	34.8408	41.1795	WT
SJBALL021130_D1	BALL	82.7996	135.109	WT
SJBALL021131_D1	BALL	29.3703	51.1951	WT
SJBALL021143_D1	BALL	52.8706	56.3986	WT
SJBALL021145_D1	BALL	12.9833	19.0523	WT
SJBALL021146_D1	BALL	24.507	34.1934	WT
SJBALL021147_D1	BALL	55.5229	60.1217	WT
SJBALL021187_D2	BALL	125.1974	106.2554	WT
SJBALL021187_R1	BALL	57.3514	143.8706	WT
SJBALL021188_D2	BALL	47.9693	63.5875	Fusion
SJBALL021188_R1	BALL	28.0307	39.1065	WT
SJBALL021189_D2	BALL	148.7856	91.5412	WT
SJBALL021197_D2	BALL	79.0798	12.2166	WT
SJBALL021220_D2	BALL	47.8173	11.1654	WT
SJBALL021220_R1	BALL	47.6941	17.2448	WT
SJBALL021223_D2	BALL	89.6566	64.9786	WT
SJBALL021223_R1	BALL	0.0393	4.6869	WT
SJBALL021234_D2	BALL	67.894	42.5876	WT
SJBALL021235_D2	BALL	19.3236	9.5614	WT
SJBALL021235_R1	BALL	8.2592	11.3465	WT
SJBALL021239_D2	BALL	108.4426	65.5835	WT
SJBALL021240_D2	BALL	51.9582	29.8186	WT
SJBALL021242_D2	BALL	99.0072	48.1297	WT
SJBALL021245_D2	BALL	51.2586	87.8754	WT
SJBALL021248_D2	BALL	21.4316	90.9324	WT
SJBALL021255_D2	BALL	32.6065	43.5867	WT
SJBALL021256_D2	BALL	42.9948	36.6975	WT
SJBALL021258_D2	BALL	67.0598	92.6574	WT
SJBALL021260_D2	BALL	137.6683	37.9706	WT
SJBALL021263_D2	BALL	153.779	82.1242	WT
SJBALL021264_D2	BALL	44.4388	50.3716	WT
SJBALL021270_D2	BALL	100.2072	150.7994	WT
