geneName,rowMean,rowSD,AnovaP_genetic,FDR_genetic,Rank_genetic,AnovaP_OPP,FDR_OPP,Rank_OPP,Rank_genetic_GSEA,Rank_OPP_GSEA
DYNC1H1,19.0741846077391,0.0669608196051763,0.045363574420152,0.107367427752028,-0.969127451346716,0.000275728250799045,0.0013969555416199,-2.85481741517171,-1.34329273255898,-3.55951873430202
PRKDC,19.2597939849278,0.192052486853559,3.52460829892722e-08,1.11760360176104e-05,-4.95171220726751,0.00687068593195648,0.0182083812933583,-1.73972866082832,-7.45288914053549,-2.16299990317437
MYH9,20.2782476810764,0.187447721116828,4.93163097604262e-06,0.000196347726301976,3.70697412347542,0.000433445052359834,0.00199477938075278,-2.70010512956114,5.30700942823697,-3.36306595002037
TLN1,18.8017411135743,0.184683003638438,0.157324539071754,0.274649501248309,0.561221185302021,3.75121861443024e-05,0.000282911289335003,-3.54834972204435,0.803203531971306,-4.42582762519236
FASN,18.9362600303268,0.0817892875945566,0.0154662941674628,0.0497712323584518,-1.30302160579306,0.00115908374797367,0.00436440918591845,-2.36007453882253,-1.81061373383915,-2.93588518356287
PLEC,17.8696329547655,0.0512514452286603,0.0177934347500207,0.054887135661325,1.26052943270789,0.259492053900783,0.351463921106123,0.454119250071542,1.74974020992635,0.585875936466311
CLTC,19.2667965972214,0.0698664321714892,0.112380378783658,0.212669721972316,-0.672294336690416,3.30009562696117e-05,0.000255547356027128,-3.59252860803204,-0.949309508427494,-4.48147347537671
CAD,18.0558928210445,0.125834759401008,0.000100306056115566,0.00132434936814794,-2.87799743132853,0.420233641754212,0.520896640504148,0.283248443517995,-3.99867284506362,0.376509183145244
IQGAP1,18.5600438816535,0.110206422390736,1.21799545501408e-05,0.000347534703164018,3.45900182232528,0.242798061168439,0.333940447584379,-0.476330975079103,4.91435433228277,-0.614754785583642
GCN1,18.023889758364,0.0428355613268111,0.105978817899575,0.203784054186528,-0.690829801927904,0.42659709076413,0.526936666225246,0.278241580540402,-0.974780928967328,0.369982110605748
PRPF8,19.5816314373773,0.448734266183571,0.00126433451585149,0.00795787018800642,2.0992031495189,3.44939814827923e-06,4.38517546771339e-05,-4.35801302415996,2.89813800582583,-5.46225667411015
SNRNP200,18.1689744413076,0.0700993181549252,0.963275926842225,0.973491320229278,0.0116679163507636,0.0352460916965599,0.0698664326335513,-1.15573143117125,0.0162492929996449,-1.45288903324622
HUWE1,16.6392402183563,0.0807846107874224,0.203420598853727,0.332169189833228,-0.478640652757458,0.0190126302349293,0.0423088686683696,-1.37356858747072,-0.691605071494165,-1.72095779804782
EPRS1,18.3201453687974,0.0809865483071744,0.000275016037625524,0.00273153622224939,-2.56359303603582,0.000562516886220046,0.00247777592420768,-2.60593797127727,-3.56064197944545,-3.24986443591507
RANBP2,16.9877031720923,0.235933606040822,0.203801847927764,0.332399584298823,-0.478339528019215,1.42774283168379e-05,0.000134056438455722,-3.87271232290719,-0.690791882443468,-4.84535001163455
UBR4,16.8416743934167,0.170512185574826,0.000716000633284292,0.00526091452438931,-2.27893875425447,0.0248371235267975,0.052603491312838,1.27898543060706,-3.14508659356959,1.60489870272958
UBA1,18.9050467391024,0.0947677102174035,0.429641416918247,0.562344117556605,0.249997843469453,0.000263264652064628,0.0013454002517452,-2.87114849538999,0.366893859822339,-3.57960744869428
LRPPRC,18.4728259236762,0.108547229149906,0.00018152972610737,0.00201435490993031,-2.69586400853666,0.0019532264662736,0.0065911768270573,-2.18103703701935,-3.74105224761231,-2.70924739964559
SPTBN1,16.7732189782676,0.698302261473004,0.000426675136694341,0.00375709312628792,2.42514804003597,1.79949776906351e-06,2.75252921907436e-05,-4.56026806214171,3.36990266370515,-5.74484868742952
SPTAN1,16.1466504066241,0.248677706573353,4.34513084607954e-07,4.02213193325104e-05,4.39554368785585,9.98411275001484e-05,0.000633066704741682,-3.19855052698904,6.36199714099329,-4.00069052317119
ACTN4,18.4874067244165,0.260781876716457,7.22654515972628e-11,1.85577679701771e-07,6.73147425961111,6.6877487816458e-09,6.24514140773325e-07,6.20445772351835,10.1410692790079,8.17472004908491
FLNA,16.1590230510007,0.129460160242895,9.17498565175578e-05,0.0012599659440486,2.89964119338375,0.0246206221333194,0.0524042748763897,-1.28063328401817,4.03739460624406,-1.60870097717018
DHX9,18.5431986800718,0.117414857661294,1.31282774437136e-05,0.000358653366760176,-3.445325087989,3.40901789923208e-07,8.66768115369107e-06,-5.06209707286438,-4.88179225378611,-6.46737071847856
SF3B1,17.9474246309841,0.158408909982945,9.47707198326894e-07,6.39321174421767e-05,4.19428091142372,0.00211017516387463,0.00701479588456964,-2.15398496148448,6.02332582067119,-2.67568149278443
MKI67,17.1413802292754,0.238610786224912,0.994888718847441,0.996052331384105,0.00171784367037147,0.00420182770497336,0.0122966308220759,-1.91021386545632,0.00222549361935209,-2.37656175971527
VCP,18.6882878652751,0.12319169241939,0.00134717344618792,0.00827961715506017,2.08198974428865,3.60556024374035e-05,0.000273532605788042,-3.56299089722888,2.87057648603424,-4.44302724360453
VCL,17.9042518533557,0.403693631648585,5.22926318713593e-12,2.68574957291301e-08,7.57093448465775,2.68764800545962e-11,1.38037601560406e-08,-7.86000259529572,11.2815594997185,-10.5706276103565
ACTB,22.7674799771789,0.30011828882364,0.020336079588806,0.0605133863082895,1.21814854341768,7.80800369200861e-07,1.47433481478516e-05,-4.8314038789589,1.69173276709929,-6.1074599899855
HSP90AA1,20.5699810297217,0.215941826730624,0.634004811820959,0.738545863804139,0.131622529764928,4.19475925689446e-09,4.30885670868199e-07,-6.36563794816353,0.197907445999402,-8.37729295888831
