V1	Distance	Burden.avg	Burden.sd	V1	Distance	Burden.avg	Burden.sd
FL	0	0.020430562070099	0.010764486048394	DHL	0	0.0407755507746388	0.0321642586005251
FL	200	0.0190638325646131	0.00917989399069737	DHL	200	0.0411876686410158	0.0321381750472566
FL	400	0.0181903334742246	0.00805716624015976	DHL	400	0.0425886470073216	0.0343383103550605
FL	600	0.0173138881258413	0.00478088402341868	DHL	600	0.0450506138006243	0.0379634418684862
FL	800	0.0184566834116743	0.00539731980636544	DHL	800	0.0407775571565856	0.0325626652261189
FL	1000	0.0194274482631493	0.00623335824278977	DHL	1000	0.0408500043319262	0.0316137343104927
FL	1200	0.0204085077587141	0.00625904811064085	DHL	1200	0.0396690508442897	0.0296515830998552
FL	1400	0.0248225416808882	0.00507651173295906	DHL	1400	0.043078162826246	0.0325206908892228
FL	1600	0.0242263750714975	0.00665390721304233	DHL	1600	0.0424726219317592	0.0255196646277425
FL	1800	0.0276185172130346	0.00998756848760748	DHL	1800	0.044896411871532	0.0321592462224549
FL	2000	0.0300102063646454	0.00897249532866274	DHL	2000	0.0417737851081746	0.0328074920535992
FL	2200	0.0303851959237403	0.010973099717361	DHL	2200	0.0398289915717441	0.0344237732550527
FL	2400	0.0282640809184731	0.00932353167912653	DHL	2400	0.0359595986402606	0.0260546873370722
FL	2600	0.0294515018115747	0.0114382073651431	DHL	2600	0.0337006439136717	0.0181331244716857
FL	2800	0.0273888437358957	0.0101157220166699	DHL	2800	0.0324677053771234	0.0139128882889425
FL	3000	0.0253241992901351	0.0120700173345466	DHL	3000	0.0344823649386751	0.0134459619651048
FL	3200	0.0238949036532578	0.0176131755138257	DHL	3200	0.0334214003028747	0.0156732354915423
FL	3400	0.0229765588654521	0.0160946721886186	DHL	3400	0.0306000323284843	0.0105365044728957
FL	3600	0.022525805440818	0.0159487042993924	DHL	3600	0.0292959449056107	0.0113027073496329
FL	3800	0.0223120785975031	0.0175560511480601	DHL	3800	0.0296883710100507	0.0146443285183726
FL	4000	0.0242789920259543	0.0173955277815803	DHL	4000	0.0312427563536278	0.0206005161755615
FL	4200	0.0245126979365384	0.0159667515041207	DHL	4200	0.0335040682913894	0.023282501697961
FL	4400	0.0253472262503155	0.00875061305437671	DHL	4400	0.0293487700851759	0.0196809565383374
FL	4600	0.0263925071862809	0.0111935439774556	DHL	4600	0.0284691841234442	0.020441217360931
FL	4800	0.0247560514899902	0.0111067559251068	DHL	4800	0.032692494585712	0.0243985012253671
FL	5000	0.0250573330424461	0.0126798792543093	DHL	5000	0.0319635384200972	0.0220842566421783
FL	5200	0.0249383548478935	0.0171333447669513	DHL	5200	0.0292049669976719	0.0176527403265682
FL	5400	0.0278559859226893	0.00935478808390774	DHL	5400	0.0322377924233356	0.0194594528335559
FL	5600	0.0270358429880144	0.00839661349473494	DHL	5600	0.0350793806351835	0.0225123004724079
FL	5800	0.0284042276716327	0.0068403768549665	DHL	5800	0.0330882090755797	0.0150966931445972
FL	6000	0.0219786826302864	0.0127638878392547	DHL	6000	0.0353105937761038	0.0172087798109991
FL	6200	0.0257697212853584	0.0155118913996659	DHL	6200	0.0330654938878369	0.0198142309619804
FL	6400	0.0241172537649291	0.0138339975748377	DHL	6400	0.0383903194013972	0.0234644776819012
FL	6600	0.0237315547144863	0.0129725895138277	DHL	6600	0.0360996926494776	0.0227252069517753
FL	6800	0.0230761484178839	0.012351099078171	DHL	6800	0.0341898771543584	0.0222476541806431
FL	7000	0.0234095647361944	0.0127207074778992	DHL	7000	0.0395436821846034	0.0288867862874978
FL	7200	0.0256547878533325	0.014206784414891	DHL	7200	0.0350861680211881	0.0237171483885024
FL	7400	0.0248448652024449	0.0137467674658947	DHL	7400	0.0376616386109277	0.0243266198446521
FL	7600	0.0252204285506324	0.013757505522201	DHL	7600	0.0365899978161223	0.0230261592792432
FL	7800	0.0229561187392517	0.0136777180209175	DHL	7800	0.0373677630463274	0.0242023527329152
FL	8000	0.0258917134772922	0.00910003530285653	DHL	8000	0.0359385250572127	0.020333643104413
FL	8200	0.0276082985345258	0.010348879722024	DHL	8200	0.0437411025873935	0.0310686751781392
FL	8400	0.0319185809318245	0.0110119925288562	DHL	8400	0.0428843356606611	0.0311114757672316
FL	8600	0.0347707825079353	0.0129353743052834	DHL	8600	0.0454469040185054	0.029036953873534
FL	8800	0.0326797073283795	0.0129387288382972	DHL	8800	0.053591049506302	0.0347007486698671
FL	9000	0.0341083366876913	0.0127550444138283	DHL	9000	0.0605087868816689	0.042366075300644
FL	9200	0.0349314396488935	0.0112681168431071	DHL	9200	0.0693509011761971	0.0519145200378349
FL	9400	0.034171349569139	0.0121818684185086	DHL	9400	0.0776043472508075	0.062368114167567
FL	9600	0.0329560805466308	0.0140150520744242	DHL	9600	0.0846823603999847	0.0755084287899383
FL	9800	0.0364007931054913	0.0115397466349983	DHL	9800	0.0886994266634045	0.0764694284373785
FL	10000	0.0365031138796272	0.0135752931346678	DHL	10000	0.0971541577143643	0.0872896399319162
FL	10200	0.0363879095865345	0.0118700545853748	DHL	10200	0.0973489156252611	0.0848609464692801
FL	10400	0.0364790019592697	0.0105731951999841	DHL	10400	0.0980363240198803	0.0829908076962235
FL	10600	0.0354022850940175	0.00997381289751546	DHL	10600	0.0965595295684655	0.0825794663467674
FL	10800	0.0343815197773471	0.0112792963116769	DHL	10800	0.101868274279791	0.0864066339897926
FL	11000	0.0346137770259914	0.00496683182438102	DHL	11000	0.102904594023726	0.088577201014426
FL	11200	0.0336688950745983	0.00712013077150709	DHL	11200	0.10021311316158	0.0808189390124825
FL	11400	0.0366245172177242	0.00737985687364654	DHL	11400	0.102835077755353	0.0769915990301675
FL	11600	0.0355706576171616	0.00728197644666123	DHL	11600	0.108267780273385	0.0821706950646946
FL	11800	0.0338223820955557	0.00677070433448282	DHL	11800	0.110452313996954	0.0893554853834865
FL	12000	0.0348305763830674	0.0109681653926006	DHL	12000	0.102066236348064	0.0791183518562046
FL	12200	0.0373858740535143	0.0106896273730315	DHL	12200	0.0936853511156142	0.0673555008815623
FL	12400	0.0307706426813492	0.0103126486153682	DHL	12400	0.0951158310545436	0.0677070651453346
FL	12600	0.0289169752940348	0.0165738969266207	DHL	12600	0.0894143324353884	0.0623977231401854
FL	12800	0.0301943162340921	0.0156756259912532	DHL	12800	0.0800748556287182	0.0554362063333656
FL	13000	0.0278050633503092	0.016875755359915	DHL	13000	0.0698139619878353	0.0462161561896059
FL	13200	0.0315045028486565	0.0167611988861856	DHL	13200	0.0638052377332752	0.0386062849514593
FL	13400	0.0324754495115651	0.0195607818338016	DHL	13400	0.0599171792923658	0.0363800139067461
FL	13600	0.0295038051082779	0.0181323012926402	DHL	13600	0.0533780495844453	0.0289225383360602
FL	13800	0.0319611326124433	0.0196161995599034	DHL	13800	0.0479926267554783	0.0221382590406944
FL	14000	0.0305324593728411	0.0172810420061217	DHL	14000	0.0388194753211991	0.0175361524338306
FL	14200	0.0299583034856606	0.0164941872720389	DHL	14200	0.0345752672733271	0.0141979490991486
FL	14400	0.0248565156574423	0.0154656065703665	DHL	14400	0.0354190446594762	0.015849000487968
FL	14600	0.0245325528226945	0.0146240452032611	DHL	14600	0.0359729472236444	0.0158720342446859
FL	14800	0.0255214904644675	0.0153898812983985	DHL	14800	0.0342512914669091	0.00890963795758278
