V1	Distance	Burden.avg	Burden.sd	V1	Distance	Burden.avg	Burden.sd
FL	0	0.0530618475709282	0.0255223922608877	DHL	0	0.378446269002769	0.35904502574018
FL	200	0.0551376031112687	0.0255868267187833	DHL	200	0.373474675113904	0.353008156239799
FL	400	0.0549406638776638	0.0231221923194418	DHL	400	0.367586915378984	0.350997385039956
FL	600	0.0548254406343607	0.0253414335213791	DHL	600	0.35578162022225	0.339423210097529
FL	800	0.0548111340589363	0.0303584754903983	DHL	800	0.339801262270275	0.328472991052842
FL	1000	0.0589019475564005	0.0363462802357725	DHL	1000	0.322428861866008	0.315253646899819
FL	1200	0.0597699021455794	0.0359429060027118	DHL	1200	0.296039103856725	0.287199784546357
FL	1400	0.0594647992609921	0.036734813946442	DHL	1400	0.262573055829346	0.243376006814292
FL	1600	0.0571623042317469	0.0381475739098987	DHL	1600	0.229045784785975	0.212408272286972
FL	1800	0.0576671806861446	0.035853277101396	DHL	1800	0.207680702386469	0.190448218465626
FL	2000	0.0576263124560604	0.0360091205077019	DHL	2000	0.181372056439206	0.161190444420573
FL	2200	0.0544023449784513	0.0321011899967913	DHL	2200	0.165572991602532	0.147009639719572
FL	2400	0.0517353669623294	0.0288833756269834	DHL	2400	0.148456332052429	0.134439963751871
FL	2600	0.0486943873902197	0.024131851780227	DHL	2600	0.137163533850445	0.123864111680452
FL	2800	0.0483569677175728	0.0303008248202278	DHL	2800	0.123463726748613	0.113474069177323
FL	3000	0.0456750395826575	0.0303305213085824	DHL	3000	0.111751331720969	0.098927790434607
FL	3200	0.0435720460750483	0.0264181036219944	DHL	3200	0.107503511810071	0.0954942781859785
FL	3400	0.0397015181172301	0.0185066187072761	DHL	3400	0.0951888116435881	0.0819962999108614
FL	3600	0.0384859203632825	0.0150142653758435	DHL	3600	0.0890886161620824	0.0748642447533842
FL	3800	0.0397365219437851	0.0134180310314695	DHL	3800	0.0879218720785179	0.0720931130481785
FL	4000	0.0403357587994091	0.0145294478201183	DHL	4000	0.087475287325909	0.0738167009434263
FL	4200	0.040274847339996	0.0149238739802128	DHL	4200	0.0840146823697855	0.0687465641929029
FL	4400	0.0419716238524064	0.0135658671926338	DHL	4400	0.0832858155429423	0.0716654482793996
FL	4600	0.0427505176170266	0.0126576583759606	DHL	4600	0.0787677958403592	0.0648753718855911
FL	4800	0.0458536104706556	0.0169653200192202	DHL	4800	0.0742246942693437	0.0617727562840876
FL	5000	0.0479136553206036	0.0204565278211614	DHL	5000	0.0744984157160417	0.0601177284262197
FL	5200	0.0485206913970941	0.0199838821115534	DHL	5200	0.0732840393576013	0.0557818084973788
FL	5400	0.04921233711254	0.0198265437561315	DHL	5400	0.0685450623890191	0.0490626465004542
FL	5600	0.0493479383491201	0.0248956089932571	DHL	5600	0.0682197517572078	0.0536882555897114
FL	5800	0.0491631411184337	0.0241275626847007	DHL	5800	0.0596030584024983	0.0454929448688938
FL	6000	0.0520882098478249	0.0283559241070066	DHL	6000	0.0595001484528481	0.045881659821902
FL	6200	0.0492511806492696	0.0295807482859255	DHL	6200	0.0565935227768675	0.0440976655864663
FL	6400	0.049149560827266	0.0299707307603817	DHL	6400	0.0532128531071346	0.0409793494470953
FL	6600	0.0441209496263143	0.021181875771276	DHL	6600	0.0464179064418277	0.034508598309632
FL	6800	0.0411328457244995	0.0127280116089249	DHL	6800	0.0446470546770033	0.0332505925035869
FL	7000	0.0395263449323453	0.0140681945288253	DHL	7000	0.0428854380375799	0.0310867493340999
FL	7200	0.0379488446529475	0.011268421793032	DHL	7200	0.0395655622370848	0.0289946081660118
FL	7400	0.0370889922286401	0.0126402056736824	DHL	7400	0.0390089248100137	0.0272396282196876
FL	7600	0.0368027133889634	0.0129871980637399	DHL	7600	0.036320884345778	0.0255446321129526
FL	7800	0.0332023488185466	0.0116817000386314	DHL	7800	0.0344707954156866	0.0238103496928109
