geneName,AnovaP_genetic,FDR_genetic,Rank_genetic,AnovaP_OPP,FDR_OPP,Rank_OPP,Rank_genetic_GSEA,Rank_OPP_GSEA
DYNC1H1,0.862558728242758,0.898976572500288,-0.0462516259157395,0.000424537107329821,0.00173898713267988,-2.75970363146871,-0.0642113258390796,-3.37208434357254
PRKDC,8.56137752434149e-05,0.000557737395121866,-3.25357023599863,0.00110120371801019,0.00382962592054966,-2.41684364602496,-4.06745635178449,-2.95813233096143
MYH9,3.335104167779e-10,1.4014286843586e-07,6.85342899763796,5.16112760366549e-05,0.00033328794579695,-3.47718039341579,9.47689059689433,-4.28725540330503
TLN1,3.18675664186793e-05,0.00025615083454354,3.59150422484693,1.81069757290591e-07,5.00375565846042e-06,-5.30070390576783,4.49665110035723,-6.74215408054519
FASN,0.208647586420159,0.292220325394992,-0.534289579983201,0.000220854553945756,0.00103012015179781,-2.98711211682931,-0.680586634726387,-3.65589364130882
PLEC,0.190843756170139,0.271051922275356,-0.566947508395859,0.739370795606075,0.799067680701266,-0.0974164345655409,-0.719322044282935,-0.131137707614163
CLTC,1.55654759674779e-06,2.59761514522196e-05,4.58542519224964,0.000480923828617369,0.00191475482501416,-2.71788682741868,5.80783759474448,-3.31792370414754
CAD,6.48937447183817e-05,0.000449868301106136,-3.3469146072783,0.0959463139026007,0.152399274863834,-0.817017099422827,-4.1877971639888,-1.01797170547787
IQGAP1,7.74134870276184e-10,1.80866056055436e-07,6.74264293148761,0.213246750327331,0.295431278835889,0.529543525589115,9.11118336966068,0.671117578334702
GCN1,0.000207133994399638,0.00110214154369994,-2.95776262717173,0.0539123898452758,0.0948680875743641,-1.02287985418133,-3.68374861975151,-1.26831141620306
PRPF8,0.00315730032459429,0.00974101060529091,2.01139598382641,1.56408033168008e-06,2.22697310383258e-05,-4.65228502810634,2.50068410575092,-5.80574094519596
SNRNP200,0.145602362939136,0.218446043638983,-0.66065581655898,0.0130530008748649,0.0292087176738379,-1.5344875090792,-0.836831576924764,-1.88428963287945
HUWE1,0.00344491486985526,0.0104526932886989,1.98077179283383,0.00378145787585116,0.010360710811234,-1.98461044818085,2.46282150583442,-2.42234073313308
EPRS1,0.00012908577084707,0.000763522280959654,-3.11717828492499,0.00117269589077534,0.00404185333086786,-2.39341945003656,-3.8891216274716,-2.93081459664968
RANBP2,0.0954829671551561,0.155065545395735,-0.809484689012814,5.52483560108736e-06,5.85518659579155e-05,-4.23245926007388,-1.02007409365472,-5.2576806404669
UBR4,8.6594573906991e-07,1.71851779877195e-05,-4.76484596549451,0.000289773063676491,0.00127410910803863,2.89479337970071,-6.06250932040854,3.53794198753414
UBA1,1.42186519022408e-05,0.000138942720109349,3.85716420310873,7.1570814665964e-07,1.27864124353679e-05,-4.89325129118046,4.84714157795027,-6.14526403933323
LRPPRC,0.00516254169379196,0.0142587126846269,1.84591968200166,0.0019025934656263,0.00597028718761855,-2.22400477758115,2.28713642786617,-2.72065399915203
SPTBN1,9.59670527886353e-09,8.69622057035642e-07,6.06066945336589,3.54779433147421e-10,8.28893766535338e-08,-7.08150112634221,8.01787784246086,-9.45004156451528
SPTAN1,5.5735183112293e-07,1.26760549202295e-05,4.89701588785497,0.093288123460336,0.14891333993358,-0.827066395598794,6.25387056770284,-1.03017364289824
ACTN4,6.4717053369121e-08,3.17794888740643e-06,5.49785309205496,2.24364381159893e-06,2.91220434131781e-05,4.53577815504815,7.18898126479912,5.64904608811791
FLNA,0.00819633193588584,0.0208250846023002,1.68141322558804,0.0907433675345152,0.145574565894946,-0.836914496289217,2.08638046181251,-1.04218510787229
DHX9,5.51856399140613e-08,2.87472248973805e-06,-5.54140407340652,3.90584201323312e-07,8.30821929460553e-06,-5.08049204882686,-7.25817391715171,-6.4082853273996
SF3B1,7.81431548252423e-08,3.46255013622194e-06,5.46060392948651,2.57691415207734e-05,0.000188680039055236,-3.7242740425309,7.10710905925487,-4.58890004939637
MKI67,0.0640682412353128,0.111934316774136,-0.951036747244277,0.0118788554985449,0.0268856526915547,-1.57047941587647,-1.19335719784804,-1.92522540065201
VCP,0.349145805307901,0.44267623070612,0.353913796634901,0.672406436680833,0.743422044426647,0.128764565071199,0.456993171273187,0.172368137883388
VCL,0.0260189757989462,0.0531971104242576,1.27411195719522,0.561823645969499,0.645456759115607,-0.190132846978518,1.58470980284055,-0.250399986213182
ACTB,0.00822675177269077,0.0208920474859835,1.68001899571667,2.94635688205036e-06,3.60400732524682e-05,-4.44321433497626,2.08477160654418,-5.53071464971404
HSP90AA1,0.000173996029494346,0.000955722955507163,-3.01966798254794,8.20865000136589e-09,6.20477367750304e-07,-6.20727405500395,-3.75946066199539,-8.08572826129299
EEF2,0.737155008323562,0.799530859418255,0.0971647691705044,0.000343593626116871,0.00145552310990324,-2.83698089470901,0.132441179466379,-3.46395490120851
TPR,0.0106138107885923,0.0256487952296024,1.590933029672,0.00531442430500795,0.0137821094489106,-1.86068430551194,1.97412865876455,-2.27454377435796
RNF213,0.113453455965099,0.178770926934583,0.747703108015025,0.0424179074679496,0.0773972468531278,1.11127448760858,0.945182270306044,1.37245075961809
HSP90AB1,0.00981338664999401,0.0240555650131009,-1.61878443800523,9.76688878129247e-09,6.9491239355115e-07,-6.1580699427415,-2.00818108950237,-8.01024375770417
PARP1,0.00038890569890704,0.00179441229118688,-2.74607776462774,6.9833464640096e-05,0.000420801885404564,-3.37592232299176,-3.41015569278531,-4.15593641081951
HSPD1,1.96169554116291e-09,3.18239768860275e-07,6.49724554965058,2.54936476569926e-10,6.93372595959896e-08,-7.15903332688295,8.70736839504636,-9.59356802078938
