V1 Distance Burden.avg Burden.sd xxxx
1 FL 0 0.0215178709798697 0.0171022809262026 0.0044155900536671
2 FL 20 0.021865789686705 0.0167439585081373 0.00512183117856764
3 FL 40 0.0224012713970358 0.0170260550598783 0.00537521633715747
4 FL 60 0.0222460525579893 0.0169505663384594 0.00529548621952989
5 FL 80 0.0215376471781477 0.0170406050618786 0.00449704211626905
6 FL 100 0.0221263546086537 0.0170098139794689 0.00511654062918486
7 FL 120 0.0241766659027338 0.0158099438422464 0.00836672206048737
8 FL 140 0.0238112557115365 0.01550613910226 0.00830511660927648
9 FL 160 0.0245295241566216 0.0154482206210209 0.00908130353560063
10 FL 180 0.0249707489266566 0.0158141998088846 0.009156549117772
11 FL 200 0.0246191949136966 0.0156400777204124 0.00897911719328419
12 FL 220 0.0255250099409861 0.0144263328448965 0.0110986770960896
13 FL 240 0.026047355809963 0.0146173336452885 0.0114300221646745
14 FL 260 0.0263308996705872 0.0143024356979285 0.0120284639726587
15 FL 280 0.0275822164269397 0.0144179300021068 0.013164286424833
16 FL 300 0.028058026278575 0.0147097363713613 0.0133482899072137
17 FL 320 0.0296044151245325 0.0130279136197255 0.016576501504807
18 FL 340 0.030814881554306 0.0127795045942168 0.0180353769600892
19 FL 360 0.0319521421977407 0.0132178387470018 0.0187343034507388
20 FL 380 0.0318161162734685 0.0135397003243638 0.0182764159491047
21 FL 400 0.0326097499441133 0.0142266997167756 0.0183830502273376
22 FL 420 0.0318802343348887 0.0140472034249232 0.0178330309099654
23 FL 440 0.0315218248259583 0.0138207965570258 0.0177010282689324
24 FL 460 0.0319353839315532 0.0129337366513333 0.0190016472802199
25 FL 480 0.0317241118047465 0.0125862295707949 0.0191378822339516
26 FL 500 0.0309368982947388 0.0126289718216001 0.0183079264731387
27 FL 520 0.0309001181854231 0.0119552721779447 0.0189448460074783
28 FL 540 0.0303387836674049 0.0115693592606812 0.0187694244067237
29 FL 560 0.0298224375596488 0.0114045305490882 0.0184179070105606
30 FL 580 0.0312328015547592 0.0106281061772633 0.0206046953774959
31 FL 600 0.0307789901390775 0.0106473121664592 0.0201316779726183
32 FL 620 0.0296611371891815 0.0100499604717459 0.0196111767174355
33 FL 640 0.0306036052193609 0.0101174285856809 0.0204861766336801
34 FL 660 0.0297089353129395 0.0097563379384126 0.0199525973745269
35 FL 680 0.0299231783469677 0.00997635399779379 0.0199468243491739
36 FL 700 0.0309094807155358 0.0109169163269419 0.019992564388594
37 FL 720 0.0324696624552895 0.010594906664601 0.0218747557906885
38 FL 740 0.0313833394468508 0.012468603959836 0.0189147354870148
39 FL 760 0.0316827664456531 0.0132401366364005 0.0184426298092526
40 FL 780 0.0304343305006766 0.0129676870124306 0.017466643488246
41 FL 800 0.0302687321896365 0.0129693498972143 0.0172993822924222
42 FL 820 0.0290387495520087 0.0137142250917569 0.0153245244602518
43 FL 840 0.0282230764265199 0.0138445903080402 0.0143784861184796
44 FL 860 0.0279964074153442 0.0130683439708256 0.0149280634445186
45 FL 880 0.0282166174480131 0.012538487157812 0.0156781302902011
46 FL 900 0.0280076962846375 0.0117724177217558 0.0162352785628817
47 FL 920 0.0286211218025195 0.0110902133222658 0.0175309084802537
48 FL 940 0.0287390236696305 0.0113039883360774 0.0174350353335531
49 FL 960 0.0280400553788139 0.0115008320398054 0.0165392233390085
50 FL 980 0.0289991197289267 0.011634929397449 0.0173641903314777
51 FL 1000 0.029610904887308 0.0121448438496336 0.0174660610376744
52 FL 1020 0.0291939729419403 0.0111159902340702 0.0180779827078701
53 FL 1040 0.0321735808500528 0.0116656084803118 0.020507972369741
54 FL 1060 0.0332048704201706 0.0144304839811239 0.0187743864390466
55 FL 1080 0.0335497477444656 0.0145672730528759 0.0189824746915897
56 FL 1100 0.0329291707753336 0.0146528838620479 0.0182762869132857
57 FL 1120 0.0322950532859734 0.0149964542625152 0.0172985990234582
58 FL 1140 0.0321798306260324 0.0150226791375462 0.0171571514884862
59 FL 1160 0.0321179235086032 0.0148402598957598 0.0172776636128434
60 FL 1180 0.0321859405694167 0.0141056175545169 0.0180803230148999
61 FL 1200 0.0317867010052851 0.0135830089647589 0.0182036920405261
62 FL 1220 0.0289126092821232 0.0113331890271316 0.0175794202549916
63 FL 1240 0.0306137852509679 0.013678914680971 0.0169348705699969
64 FL 1260 0.0307175383879517 0.0135406880611345 0.0171768503268172
65 FL 1280 0.031956635354387 0.0125946068477311 0.0193620285066559
66 FL 1300 0.0335886587477568 0.0167014037309536 0.0168872550168031
67 FL 1320 0.0343576815801367 0.0201846313902482 0.0141730501898885
68 FL 1340 0.0346621865515054 0.0198781049757432 0.0147840815757622
69 FL 1360 0.0358016577870371 0.0240135207357572 0.0117881370512799
70 FL 1380 0.0358589397753475 0.0242231420120332 0.0116357977633143
71 FL 1400 0.0355552071954346 0.02411205066099 0.0114431565344446
72 FL 1420 0.0362047925744199 0.0284955603876981 0.00770923218672177
73 FL 1440 0.0359960524171949 0.0284269534122628 0.00756909900493213
74 FL 1460 0.0362723805771692 0.0283942444020921 0.00787813617507708
75 FL 1480 0.0358355671035545 0.0286840053215007 0.0071515617820538
76 FL 1500 0.0353733074571742 0.028801208839628 0.00657209861754613
77 FL 1520 0.0371938710572015 0.032705726889191 0.00448814416801047
78 FL 1540 0.0335135183026826 0.0247213533370806 0.00879216496560194
79 FL 1560 0.0330884870747657 0.0201177154060226 0.0129707716687431
80 FL 1580 0.0314367099696299 0.0158863996112363 0.0155503103583935
81 FL 1600 0.0317879366296046 0.0155844346627626 0.0162035019668421
82 FL 1620 0.0310677835868776 0.0161008746182112 0.0149669089686664
83 FL 1640 0.0322151782209414 0.0201426869875584 0.0120724912333831
84 FL 1660 0.0330531460296446 0.0196542854037916 0.013398860625853
85 FL 1680 0.0329954649258334 0.0196935424501338 0.0133019224756996
86 FL 1700 0.031664216544838 0.0204539838434108 0.0112102327014272
87 FL 1720 0.0316929062468683 0.0204736864253432 0.0112192198215251
88 FL 1740 0.0302726833357184 0.016726642571708 0.0135460407640103
89 FL 1760 0.0310517858041091 0.0210534362501552 0.00999834955395392
90 FL 1780 0.030199464677947 0.0213449142742397 0.00885455040370739
91 FL 1800 0.0300294022550165 0.0213036455484528 0.00872575670656376
92 FL 1820 0.0291094959793591 0.0170612430371461 0.0120482529422129
93 FL 1840 0.0283842653208771 0.0176221051940789 0.0107621601267982
94 FL 1860 0.0271060363160816 0.0136112280048102 0.0134948083112714
95 FL 1880 0.02638710585222 0.013694501569964 0.0126926042822559
96 FL 1900 0.0269464122155775 0.0135039374850661 0.0134424747305114
97 FL 1920 0.0261248624716176 0.00974466421628527 0.0163801982553324
98 FL 1940 0.0263198068686983 0.0103733141951127 0.0159464926735855
99 FL 1960 0.0273041858424833 0.0105382000379551 0.0167659858045282
100 FL 1980 0.0292978201153965 0.0136292970545013 0.0156685230608952
101 FL 2000 0.0292660186737057 0.013926079617712 0.0153399390559937
102 FL 2020 0.0279887640681293 0.0104080280540739 0.0175807360140555
103 FL 2040 0.0295277688024674 0.00985018654648226 0.0196775822559852
104 FL 2060 0.0294629237515536 0.0112025683879879 0.0182603553635657
105 FL 2080 0.0293846180643474 0.0106078649698196 0.0187767530945279
106 FL 2100 0.029802382926433 0.0114041275470534 0.0183982553793796
107 FL 2120 0.0305094939815775 0.0109425395878189 0.0195669543937586
108 FL 2140 0.029937677454422 0.00920708014466582 0.0207305973097562
109 FL 2160 0.0299198645091667 0.00873584613225597 0.0211840183769107
110 FL 2180 0.0303499197591608 0.00843041251479081 0.02191950724437
111 FL 2200 0.0305488326608371 0.00835291369133744 0.0221959189694997
112 FL 2220 0.0305006480919881 0.00805214236173989 0.0224485057302482
113 FL 2240 0.0300610818135773 0.00738288090154348 0.0226782009120338
114 FL 2260 0.0294374062318007 0.00774170002553948 0.0216957062062612
115 FL 2280 0.0296312570309576 0.00841873888917443 0.0212125181417832
116 FL 2300 0.0281168382423825 0.0109881953717127 0.0171286428706698
117 FL 2320 0.0284311959681824 0.010139406531511 0.0182917894366714
118 FL 2340 0.0290208628174223 0.0102115431331631 0.0188093196842592
119 FL 2360 0.02853802173002 0.00994768515842605 0.018590336571594
120 FL 2380 0.0295795354019362 0.0103739390107609 0.0192055963911754
121 FL 2400 0.0317195269779063 0.00746669280786604 0.0242528341700402
122 FL 2420 0.0312283545204679 0.0067124831938281 0.0245158713266398
