Sample	 Source	 Position	 Absorbance	 Fraction.Number
435039	74773	21.01	0.263494	-100
435149	74757	21.05	0.262538	-100
435443	74767	21.09	0.26143	-100
435741	74790	21.13	0.26066	-100
436038	74778	21.17	0.258937	-100
436128	74750	21.21	0.257749	-100
436591	74757	21.25	0.255769	-100
436931	74766	21.29	0.254423	-100
437073	74741	21.33	0.253074	-100
437471	74748	21.37	0.251403	-100
437871	74752	21.41	0.249642	-100
438553	74741	21.45	0.246157	-100
439200	74758	21.49	0.243606	-100
439311	74729	21.53	0.242295	-100
440015	74750	21.56	0.239593	-100
440503	74744	21.6	0.237161	-100
441363	74748	21.64	0.23328	-100
441714	74716	21.68	0.230777	-100
442388	74747	21.72	0.228506	-100
442760	74785	21.76	0.227826	-100
443675	74749	21.8	0.222617	-100
444099	74743	21.84	0.220498	-100
444781	74772	21.88	0.218152	-100
445550	74775	21.92	0.2147	-100
446029	74757	21.96	0.212009	-100
446882	74769	22	0.208428	-100
447453	74779	22.04	0.206089	-100
447852	74757	22.07	0.203663	-100
448413	74734	22.11	0.200472	-100
449385	74774	22.15	0.197136	-100
449966	74745	22.19	0.193699	-100
450677	74759	22.23	0.190852	-100
451273	74776	22.27	0.188613	-100
452007	74788	22.31	0.185616	-100
452753	74776	22.35	0.181913	-100
453361	74786	22.39	0.179441	-100
453844	74760	22.43	0.176551	-100
454447	74754	22.47	0.17367	-100
455024	74753	22.51	0.171046	-100
456201	74791	22.55	0.1668	-100
456412	74780	22.58	0.165553	-100
456896	74753	22.62	0.162646	-100
457737	74755	22.66	0.158938	-100
457957	74720	22.7	0.156996	-100
458773	74725	22.74	0.153491	-100
459595	74763	22.78	0.150868	-100
459983	74760	22.82	0.149059	-100
460865	74788	22.86	0.145906	-100
461337	74767	22.9	0.143237	-100
462087	74764	22.94	0.139831	-100
462385	74767	22.98	0.138594	-100
462711	74775	23.02	0.137371	-100
463247	74766	23.05	0.134756	-100
463803	74755	23.09	0.132	-100
464420	74762	23.13	0.129472	-100
464820	74762	23.17	0.12771	-100
465135	74761	23.21	0.126297	-100
465574	74790	23.25	0.12516	-100
465800	74771	23.29	0.123647	-100
466145	74742	23.33	0.121339	-100
466627	74748	23.37	0.119388	-100
