Sample	 Source	 Position	 Fraction Number	 Absorbance
403038	74706	12.06	-100	0.417992
404042	74691	12.1	-100	0.41249
405141	74685	12.13	-100	0.406768
405669	74693	12.18	-100	0.404322
406435	74692	12.22	-100	0.400435
407319	74706	12.25	-100	0.396373
407568	74703	12.29	-100	0.395041
408954	74698	12.33	-100	0.387957
410112	74700	12.37	-100	0.382226
410024	74746	12.41	-100	0.383925
410913	74730	12.45	-100	0.379056
410875	74707	12.49	-100	0.378615
410990	74742	12.53	-100	0.379001
411140	74719	12.57	-100	0.377624
411508	74691	12.61	-100	0.375027
411358	74676	12.65	-100	0.375362
411978	74687	12.69	-100	0.372582
412238	74705	12.72	-100	0.371784
411776	74691	12.76	-100	0.373695
411884	74731	12.8	-100	0.374254
411458	74725	12.84	-100	0.376207
411386	74704	12.88	-100	0.37599
410961	74696	12.92	-100	0.377886
410568	74701	12.96	-100	0.37998
409926	74704	13	-100	0.383264
409877	74713	13.04	-100	0.383755
409946	74728	13.08	2	0.383822
409406	74727	13.12	-100	0.386491
408671	74715	13.16	-100	0.389839
407810	74689	13.2	-100	0.393443
406601	74688	13.23	-100	0.39949
407251	74703	13.27	-100	0.396633
406867	74677	13.31	-100	0.397851
405843	74689	13.35	-100	0.403335
405588	74651	13.39	-100	0.40358
405317	74681	13.43	-100	0.40577
405038	74728	13.47	-100	0.408466
404585	74698	13.51	-100	0.409934
404460	74724	13.55	-100	0.411279
404006	74742	13.59	-100	0.414069
403887	74717	13.62	-100	0.413988
403744	74704	13.67	-100	0.414356
403431	74678	13.7	-100	0.415231
403354	74707	13.74	-100	0.416416
402777	74665	13.78	-100	0.418194
402940	74689	13.82	-100	0.418024
402951	74698	13.86	-100	0.418215
402759	74696	13.9	-100	0.419135
402674	74721	13.94	-100	0.420252
402923	74703	13.98	-100	0.418494
403245	74676	14.02	-100	0.41612
402073	74676	14.06	-100	0.422075
403266	74700	14.1	-100	0.41667
403266	74685	14.14	-100	0.41626
403473	74668	14.17	-100	0.414744
403923	74684	14.21	-100	0.412901
404175	74693	14.25	-100	0.411872
404626	74713	14.29	-100	0.410138
404818	74694	14.33	-100	0.408647
405382	74685	14.37	-100	0.405551
405645	74689	14.41	-100	0.404334
406466	74741	14.45	-100	0.401621
407022	74746	14.49	-100	0.398961
406688	74718	14.53	-100	0.399874
407757	74707	14.57	-100	0.394202
408263	74704	14.61	-100	0.391582
408777	74682	14.65	-100	0.388405
409615	74679	14.69	-100	0.384132
410112	74669	14.73	-100	0.381377
410537	74654	14.77	-100	0.378847
411703	74787	14.81	-100	0.376686
411946	74710	14.85	-100	0.373371
412332	74674	14.89	-100	0.370468
413275	74701	14.93	-100	0.366534
414166	74715	14.97	-100	0.362511
414474	74677	15.01	-100	0.359949
415010	74682	15.04	-100	0.357441
415773	74678	15.09	-100	0.353573
416740	74698	15.12	-100	0.349368
417868	74690	15.16	-100	0.343618
418464	74679	15.2	-100	0.3404
419026	74667	15.24	-100	0.337326
419614	74691	15.28	-100	0.335114
420648	74690	15.32	-100	0.330051
421010	74687	15.36	-100	0.328209
421712	74696	15.4	-100	0.325046
422515	74680	15.44	-100	0.320715
423349	74696	15.48	-100	0.317119
424060	74696	15.52	-100	0.313685
424818	74674	15.56	-100	0.309429
425706	74709	15.6	-100	0.306115
426787	74733	15.63	-100	0.301583
427283	74725	15.67	-100	0.298987
427685	74712	15.71	-100	0.296707
428399	74704	15.75	-100	0.293075
429338	74691	15.79	-100	0.288239
429524	74668	15.83	-100	0.286723
430288	74696	15.87	-100	0.283854
431304	74729	15.91	-100	0.279932
431963	74703	15.95	-100	0.276096
433072	74732	15.99	-100	0.271644
433010	74682	16.02	-100	0.270567
433907	74699	16.07	-100	0.266799
434265	74673	16.1	-100	0.264399
435303	74677	16.14	-100	0.259624
436128	74697	16.18	-100	0.256297
436677	74684	16.22	-100	0.253367
437403	74690	16.26	-100	0.250133
437855	74705	16.3	-100	0.24843
438766	74703	16.34	-100	0.244123
439940	74713	16.38	-100	0.238929
439853	74718	16.42	-100	0.239471
440582	74714	16.46	-100	0.235973
441626	74733	16.49	-100	0.23165
442421	74738	16.54	-100	0.228107
442768	74701	16.57	-100	0.22549
443361	74691	16.61	-100	0.222477
